iter	Logloss
0	0.6759098865
1	0.664868511
2	0.6589608937
3	0.6543095334
4	0.6504701425
5	0.6470768601
6	0.6444921454
7	0.6309855091
8	0.6288123499
9	0.627754737
10	0.6179585226
11	0.6170902489
12	0.608193692
13	0.6037593201
14	0.6027717447
15	0.6026189102
16	0.5997836268
17	0.5964546556
18	0.5936907364
19	0.5907501929
20	0.5904877735
21	0.5874624062
22	0.5835959492
23	0.5790180422
24	0.5775695958
25	0.5739455424
26	0.5707638022
27	0.5699060371
28	0.569607118
29	0.5693083681
30	0.5688803689
31	0.5682965425
32	0.5664015297
33	0.5646579746
34	0.5630302299
35	0.5626870874
36	0.5616153242
37	0.5601498838
38	0.5590358775
39	0.5588964293
40	0.5578572442
41	0.5577079559
42	0.557443598
43	0.5572558694
44	0.5567994766
45	0.5565887821
46	0.5565681533
47	0.5560101735
48	0.5557088224
49	0.5553187442
50	0.5547422217
51	0.5540875419
52	0.5535494078
53	0.5533731302
54	0.5531509704
55	0.5530177937
56	0.5529567447
57	0.5526192952
58	0.5524175907
59	0.5522977799
60	0.5522498365
61	0.5516471844
62	0.5514933476
63	0.5513450748
64	0.5512751555
65	0.5510717198
66	0.55079044
67	0.5506619074
68	0.5505561948
69	0.5503210928
70	0.5501467021
71	0.5499529153
72	0.5497625573
73	0.5490908942
74	0.5488030407
75	0.5487363094
76	0.5486661054
77	0.5484143997
78	0.5483021955
79	0.5480237389
80	0.5478697634
81	0.547629342
82	0.5474760895
83	0.5473193235
84	0.5470868555
85	0.5468017758
86	0.5466901944
87	0.5466045245
88	0.5465220562
89	0.5463903688
90	0.5461235754
91	0.5460478166
92	0.5458218308
93	0.5454716383
94	0.5453208431
95	0.5452480812
96	0.5450739272
97	0.544904813
98	0.5447591072
99	0.5444276241
100	0.5443223291
101	0.5441414873
102	0.5439765216
103	0.5437885081
104	0.5434011588
105	0.5428891106
106	0.5425307495
107	0.5422990739
108	0.5420815645
109	0.5417688711
110	0.5416444879
111	0.5414665952
112	0.5411261406
113	0.5410132551
114	0.540911572
115	0.5407493937
116	0.540432467
117	0.5403420645
118	0.5401516245
119	0.5399139472
120	0.5397172527
121	0.539581748
122	0.5394060617
123	0.5392342589
124	0.5391195666
125	0.5389137286
126	0.5387741724
127	0.5385707109
128	0.5383375827
129	0.538252262
130	0.5381559081
131	0.5379246186
132	0.5378130051
133	0.5376472409
134	0.5373818311
135	0.537294899
136	0.5372148942
137	0.5371255976
138	0.5370243429
139	0.5368287302
140	0.5367120641
141	0.5366400977
142	0.5365374423
143	0.5363958242
144	0.5362969379
145	0.5360756605
146	0.5359661908
147	0.5358641113
148	0.5357086019
149	0.5355914597
150	0.5354086479
151	0.5351892334
152	0.5350253579
153	0.5349086839
154	0.5346273974
155	0.5344474926
156	0.5344048575
157	0.5343422132
158	0.5342305473
159	0.5341602453
160	0.5340968397
161	0.5340124462
162	0.5339325349
163	0.5338067863
164	0.5336204254
165	0.5334938181
166	0.5334331173
167	0.5332594417
168	0.5331203588
169	0.5330053345
170	0.5328175686
171	0.5325638849
172	0.5323460169
173	0.532239464
174	0.5321134625
175	0.5319936156
176	0.53180849
177	0.5317439602
178	0.5316232067
179	0.5315243039
180	0.5312821937
181	0.5312497933
182	0.531117144
183	0.530938611
184	0.5308639251
185	0.5306509269
186	0.530596107
187	0.5303763205
188	0.5302450977
189	0.5301279948
190	0.530022826
191	0.5299636561
192	0.5298008522
193	0.5297133091
194	0.5295614343
195	0.5294335775
196	0.5292759256
197	0.5291514331
198	0.5290285202
199	0.528940243
200	0.5288198009
201	0.5287826379
202	0.5286970995
203	0.5284966318
204	0.5283513019
205	0.5282295709
206	0.5281292727
207	0.5280309686
208	0.527941238
209	0.5278266068
210	0.5277180433
211	0.5276859877
212	0.5275934024
213	0.5274488244
214	0.5272502657
215	0.5270781347
216	0.5269227573
217	0.5268383163
218	0.5267221024
219	0.5266050081
220	0.5265184729
221	0.5263933875
222	0.5262651393
223	0.5261017852
224	0.5260514713
225	0.5260112213
226	0.52595016
227	0.5258437273
228	0.5258018815
229	0.5257102669
230	0.5256321076
231	0.5253573395
232	0.5251858863
233	0.5251030669
234	0.5250197531
235	0.5249237808
236	0.5248469862
237	0.5248009023
238	0.5246036644
239	0.5244602449
240	0.5243681688
241	0.5243010352
242	0.5242436953
243	0.5241652081
244	0.5240195477
245	0.5239051327
246	0.5237632669
247	0.5235457858
248	0.5234703993
249	0.523343361
250	0.523311583
251	0.5231375851
252	0.5230119163
253	0.5229096322
254	0.5228557999
255	0.5227729371
256	0.522683006
257	0.5226361987
258	0.5224555373
259	0.5223644968
260	0.522242373
261	0.5221842129
262	0.5220987692
263	0.5219762984
264	0.5218767237
265	0.5217514033
266	0.5216739353
267	0.5215127261
268	0.5213889881
269	0.5213066679
270	0.5212540353
271	0.5211744837
272	0.5210964383
273	0.5210335091
274	0.5208889701
275	0.5207037094
276	0.5205677318
277	0.5204931815
278	0.5202270709
279	0.5200833633
280	0.5199802919
281	0.5198544118
282	0.5197920453
283	0.5196743794
284	0.5196079752
285	0.5195011814
286	0.5193733679
287	0.5192004738
288	0.5190647493
289	0.5188866615
290	0.5187731152
291	0.5186149398
292	0.5184605301
293	0.5183666895
294	0.5182572633
295	0.5181887625
296	0.5179577555
297	0.5178529197
298	0.5177629061
299	0.5176584876
300	0.517571548
301	0.5174720546
302	0.5173316058
303	0.5172603125
304	0.5171872564
305	0.5170443223
306	0.5169613394
307	0.5169434591
308	0.5168294085
309	0.5167888246
310	0.5166821876
311	0.5166128043
312	0.5164449273
313	0.5164134901
314	0.5163692003
315	0.5162798386
316	0.5161586841
317	0.516011287
318	0.5159494519
319	0.5158790204
320	0.5158362504
321	0.5157634576
322	0.5156599778
323	0.5155780409
324	0.5154755819
325	0.5153610717
326	0.515254008
327	0.5151533291
328	0.5150353308
329	0.5149160641
330	0.5148027548
331	0.5146289452
332	0.5145288406
333	0.514457786
334	0.5143596966
335	0.5142812961
336	0.5141943599
337	0.5141357282
338	0.5140753133
339	0.5139533559
340	0.5138783418
341	0.5137101991
342	0.5136135589
343	0.5134807008
344	0.5133675895
345	0.513252734
346	0.5131151507
347	0.513007696
348	0.5129412537
349	0.5127340743
350	0.5126440744
351	0.5125906699
352	0.5124986136
353	0.5123553971
354	0.5123004529
355	0.5121992248
356	0.5120651364
357	0.5118765835
358	0.5117762771
359	0.5117438937
360	0.5115980564
361	0.5114346414
362	0.5112930902
363	0.5111882242
